ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
77,419.0,5793,4470,115.59797859191895
78,33.5,5769,4457,23.071067690849304
79,70.0,4316,4458,31.313708186149597
80,37.5,2996,4458,23.899494647979736
81,33.0,5751,4455,23.656854152679443
82,70.5,5900,4456,33.071067690849304
83,6.0,4333,4454,10.0
84,408.5,3053,4462,85.3553386926651
85,48.5,3029,4456,27.071067690849304
86,621.0,2840,4465,141.05382251739502
87,27.5,3899,4451,21.41421353816986
88,492.0,945,4465,105.25483322143555
89,32.0,5408,4451,21.656854152679443
90,112.0,4649,4453,40.97056245803833
91,6.0,3727,4450,10.0
92,35.5,4195,4451,23.071067571640015
93,44.5,1801,4452,27.071067690849304
94,32.0,993,4451,21.656854152679443
